iter	RMSE
0	2.783703755
1	2.625007242
2	2.498400595
3	2.364690597
4	2.222006463
5	2.090069084
6	1.97418158
7	1.88669785
8	1.792876059
9	1.704988954
10	1.61142098
11	1.536812641
12	1.469490735
13	1.387974029
14	1.326988617
15	1.265478822
16	1.221426593
17	1.169441947
18	1.120360919
19	1.072449752
20	1.03848643
21	0.9912425787
22	0.9567744432
23	0.922034627
24	0.8861683698
25	0.8581840192
26	0.8318939392
27	0.8014280987
28	0.7780135649
29	0.7518670111
30	0.734072617
31	0.712497662
32	0.6952103065
33	0.6763276435
34	0.6611680327
35	0.6435837055
36	0.6297397765
37	0.6135216778
38	0.6006126369
39	0.5863651715
40	0.574344013
41	0.5590419113
42	0.5488012673
43	0.5395568138
44	0.528952147
45	0.5183735603
46	0.5118284308
47	0.5069992928
48	0.5002623099
49	0.492945727
50	0.4848764296
51	0.4788751595
52	0.471904555
53	0.464318267
54	0.4575317095
55	0.4512123134
56	0.4451255316
57	0.4391646328
58	0.4342735103
59	0.428755064
60	0.4250123416
61	0.4209831127
62	0.4179494149
63	0.4141685474
64	0.4106240757
65	0.4078945081
66	0.4045514567
67	0.4016913852
68	0.3964117955
69	0.3880401114
70	0.3851099993
71	0.382295979
72	0.377804385
73	0.3758376698
74	0.3720059126
75	0.3692424611
76	0.3673367788
77	0.3649781797
78	0.3634462135
79	0.3618744576
80	0.3570778616
81	0.3531156642
82	0.3515505001
83	0.3438867733
84	0.3418647532
85	0.3405556968
86	0.3393317355
87	0.3344719756
88	0.3332591436
89	0.33010412
90	0.329128073
91	0.3271420311
92	0.3250764732
93	0.3242463356
94	0.3231743007
95	0.3209654999
96	0.3184245613
97	0.3146587955
98	0.3116245183
99	0.310700852
100	0.3081378053
101	0.3070762144
102	0.3061812043
103	0.3032332949
104	0.3025074208
105	0.3017224472
106	0.3008092484
107	0.3001792302
108	0.2982367578
109	0.2967747869
110	0.2958670591
111	0.2937190604
112	0.2932863615
113	0.2924220337
114	0.2910396703
115	0.2868096999
116	0.2855589915
117	0.2810163737
118	0.2772954731
119	0.2742579868
120	0.2723626154
121	0.2666525411
122	0.2619477074
123	0.2594963944
124	0.2577484915
125	0.2572279117
126	0.2554460028
127	0.2520103189
128	0.2499573944
129	0.2493745854
130	0.2457611993
131	0.2449792636
132	0.2410624905
133	0.2407092231
134	0.2401935333
135	0.2389529262
136	0.2353039761
137	0.2346122676
138	0.233900322
139	0.2311303453
140	0.2278079768
141	0.2268468819
142	0.225930896
143	0.2241973833
144	0.2229251268
145	0.2223252937
146	0.2186086986
147	0.2155624853
148	0.2150293447
149	0.2132346519
150	0.2119983761
151	0.210403357
152	0.2098031011
153	0.2065046485
154	0.205019866
155	0.2035634143
156	0.202322954
157	0.201072771
158	0.1990909971
159	0.1955807116
160	0.1948726902
161	0.1920345973
162	0.1905850644
163	0.1896829911
164	0.1884164714
165	0.1860193623
166	0.184344965
167	0.1833079991
168	0.1814411239
169	0.1807706974
170	0.1793908575
171	0.178074986
172	0.1768573432
173	0.1764410227
174	0.1755016712
175	0.1742656374
176	0.1731118236
177	0.1719023498
178	0.1712956535
179	0.169708366
180	0.1693940797
181	0.1684996816
182	0.1682233545
183	0.1662074375
184	0.1646277511
185	0.163553609
186	0.1632646032
187	0.1605548562
188	0.1597259341
189	0.1588368853
190	0.1573039376
191	0.1562980718
192	0.1543190645
193	0.153184949
194	0.1517566242
195	0.1506891156
196	0.1495027016
197	0.1487657359
198	0.1480574315
199	0.147540044
200	0.1453383401
201	0.1445885897
202	0.1442364681
203	0.1421055036
204	0.141918105
205	0.1406091166
206	0.1401770647
207	0.13778134
208	0.1370171839
209	0.1350284547
210	0.1343758549
211	0.1332005638
212	0.1314575921
213	0.130899897
214	0.1286388575
215	0.1278492251
216	0.1273637512
217	0.1255594118
218	0.123887002
219	0.1226823623
220	0.1223079113
221	0.1211669776
222	0.1204066722
223	0.1183877898
224	0.1166547078
225	0.1155045865
226	0.1130840891
227	0.1118758467
228	0.1111303369
229	0.1100006002
230	0.1097748842
231	0.1091912406
232	0.1085391422
233	0.1077215234
234	0.1068574009
235	0.1062531529
236	0.1056710988
237	0.1050643693
238	0.1037189387
239	0.1035591651
240	0.1018647038
241	0.10174298
242	0.1007710084
243	0.1002320514
244	0.09924706657
245	0.09794742643
246	0.09636283246
247	0.0953207027
248	0.09479181377
249	0.0942610316
250	0.09333807405
251	0.0928058235
252	0.09237772765
253	0.09186717033
254	0.09123017828
255	0.08945228527
256	0.088605764
257	0.08790998404
258	0.08730633673
259	0.08636730361
260	0.08598429541
261	0.08454315901
262	0.08346380184
263	0.08304612525
264	0.08260443983
265	0.08147666687
266	0.08108719816
267	0.08084908502
268	0.08042322589
269	0.07941815908
270	0.07889513938
271	0.07843944702
272	0.07741310789
273	0.07696852937
274	0.07653428495
275	0.07505388205
276	0.07397092324
277	0.07350078308
278	0.0731360407
279	0.07265505491
280	0.07140234287
281	0.07065938542
282	0.0703161093
283	0.06927496914
284	0.06884757702
285	0.06818492514
286	0.06760245862
287	0.06689316422
288	0.0665167343
289	0.06621488632
290	0.06608966292
291	0.06544742941
292	0.06530934308
293	0.06478091492
294	0.06436999524
295	0.06430557897
296	0.06384304732
297	0.06347163093
298	0.06327194805
299	0.06265012212
300	0.06224628473
301	0.06187017289
302	0.06179546259
303	0.06100074236
304	0.06091176906
305	0.06032742334
306	0.05985963569
307	0.05969476776
308	0.05897851808
309	0.0584697936
310	0.05789382899
311	0.05756416205
312	0.05710695272
313	0.05681099084
314	0.05652824085
315	0.05628457969
316	0.05568980482
317	0.05519499763
318	0.05487987593
319	0.05428338645
320	0.05373411866
321	0.05339142315
322	0.05302161155
323	0.05280386431
324	0.05254946136
325	0.05222267186
326	0.05198454437
327	0.05120145854
328	0.05046191511
329	0.04989571159
330	0.04937124153
331	0.0490215565
332	0.04838305276
333	0.04814110077
334	0.04790940291
335	0.04763986557
336	0.04745893962
337	0.04719695537
338	0.0466603533
339	0.04629149474
340	0.04615502887
341	0.0457161606
342	0.04550635449
343	0.04509890652
344	0.04431613927
345	0.04393553771
346	0.0432249282
347	0.04301174481
348	0.04295040047
349	0.04266760237
350	0.04235947665
351	0.04215899657
352	0.04188009865
353	0.04167318813
354	0.04139429648
355	0.04120065147
356	0.04097826733
357	0.04069670239
358	0.04064768094
359	0.04033424606
360	0.04016692517
361	0.03976998727
362	0.03948576588
363	0.03941971189
364	0.03932867888
365	0.03918018397
366	0.03852854773
367	0.03841163415
368	0.03815911601
369	0.03808910377
370	0.0376599368
371	0.03738024229
372	0.0371827755
373	0.03706039778
374	0.03701756357
375	0.03691441705
376	0.03681997804
377	0.03651989904
378	0.0360971409
379	0.03582435555
380	0.03556217666
381	0.03520240678
382	0.03492376432
383	0.03465538409
384	0.03460573106
385	0.03452011486
386	0.03447145101
387	0.03421620311
388	0.03409968447
389	0.0339591043
390	0.0337154967
391	0.0334204386
392	0.03300518625
393	0.03288535717
394	0.03264800415
395	0.03244002047
396	0.03222927671
397	0.0318947041
398	0.03169153434
399	0.03120843943
400	0.03101183015
401	0.03069489626
402	0.03037187865
403	0.02999807221
404	0.02985463817
405	0.02967131373
406	0.02956990939
407	0.02935909546
408	0.02911643253
409	0.02877057015
410	0.02836638562
411	0.02818866194
412	0.02810088335
413	0.02791174757
414	0.02767254196
415	0.02740279275
416	0.02729564846
417	0.02712110744
418	0.02695368817
419	0.0267710588
420	0.02658819633
421	0.026453159
422	0.02628308708
423	0.02598466885
424	0.02590561665
425	0.02562868281
426	0.02545026787
427	0.02501302277
428	0.02493144867
429	0.02476378572
430	0.02455990445
431	0.02435430372
432	0.0241171066
433	0.02397409786
434	0.02390585402
435	0.0236144093
436	0.02321721066
437	0.02300280617
438	0.02293727463
439	0.02280266414
440	0.02260340474
441	0.02238068136
442	0.02221627561
443	0.02217621895
444	0.02198362433
445	0.02168097758
446	0.02165411344
447	0.02142577375
448	0.02120231766
449	0.02097450436
450	0.02079053099
451	0.02071620612
452	0.02063776253
453	0.02051831044
454	0.02037843012
455	0.02013007488
456	0.01997895339
457	0.01991886414
458	0.01989189645
459	0.0197254878
460	0.01957668799
461	0.01944067739
462	0.019334156
463	0.01916841427
464	0.01904851826
465	0.01888169816
466	0.01878761534
467	0.01871227802
468	0.01861496832
469	0.01842555925
470	0.01833399183
471	0.01813987767
472	0.01790048151
473	0.01775087488
474	0.01763193859
475	0.01735617972
476	0.01720979619
477	0.01717736678
478	0.01707095161
479	0.01699367445
480	0.01690068945
481	0.01668449458
482	0.01653181329
483	0.01650628929
484	0.01641584862
485	0.01632619141
486	0.01626606884
487	0.01608173392
488	0.01595315725
489	0.01588902303
490	0.01578479876
491	0.01573105968
492	0.01562739232
493	0.01554741756
494	0.01552352764
495	0.01538611669
496	0.0152794376
497	0.01511784074
498	0.01496202019
499	0.01484726205
500	0.01478771162
501	0.01463024725
502	0.0146165068
503	0.01452392855
504	0.01439724666
505	0.01434283111
506	0.01429637791
507	0.01427190544
508	0.01424943054
509	0.01410163625
510	0.01394244113
511	0.01389389403
512	0.01362071101
513	0.01352912181
514	0.01341911283
515	0.01327023843
516	0.01325600641
517	0.0131363754
518	0.01294089358
519	0.01292205368
520	0.01279428105
521	0.0125683832
522	0.01247262536
523	0.01240675475
524	0.01232240377
525	0.01222665894
526	0.01211619569
527	0.01204882734
528	0.01186699928
529	0.0117389758
530	0.0115223274
531	0.01149140351
532	0.01142649638
533	0.01136566662
534	0.01135358691
535	0.01124583097
536	0.01119788354
537	0.01118409357
538	0.01113989113
539	0.01105411447
540	0.01101326608
541	0.01083077055
542	0.01075002975
543	0.01068642182
544	0.01065078133
545	0.01064067309
546	0.01053599456
547	0.0104433188
548	0.01028394791
549	0.01014401323
550	0.01003513147
551	0.009963978394
552	0.009947648413
553	0.009870380483
554	0.009828962382
555	0.009713369884
556	0.00965581927
557	0.00955273983
558	0.009503535605
559	0.009433400664
560	0.009346770186
561	0.00925930704
562	0.009196111546
563	0.009154033489
564	0.009099207688
565	0.009047832074
566	0.008971914826
567	0.008867238882
568	0.008834958536
569	0.008826669102
570	0.008803006706
571	0.008758171685
572	0.008685187584
573	0.00867052776
574	0.008596947256
575	0.008456700087
576	0.008412260161
577	0.008363693687
578	0.008288107554
579	0.008193513063
580	0.008159012054
581	0.008118147565
582	0.008064441446
583	0.008013319706
584	0.007969857849
585	0.007945790514
586	0.007933380791
587	0.007867811491
588	0.007832012295
589	0.007795145731
590	0.007725159135
591	0.007669130876
592	0.007599491842
593	0.007545200546
594	0.007457224017
595	0.007414870868
596	0.007355607594
597	0.007289150375
598	0.007258917054
599	0.007214033215
600	0.007203192481
601	0.007153800254
602	0.007136529627
603	0.007079418813
604	0.007020566693
605	0.006965357128
606	0.006903463735
607	0.006870316185
608	0.006837171734
609	0.00677907654
610	0.00675847222
611	0.006739701734
612	0.006732024323
613	0.006694653012
614	0.006623344085
615	0.006613704478
616	0.006588251841
617	0.006550896006
618	0.006519354661
619	0.006512618724
620	0.00647218933
621	0.006404065556
622	0.0063006156
623	0.006276236011
624	0.006243358873
625	0.006206415495
626	0.00616643525
627	0.00607851745
628	0.006033265011
629	0.006013350845
630	0.005989172304
631	0.005972182829
632	0.005924865649
633	0.005902257272
634	0.005865166693
635	0.005829802329
636	0.005809694585
637	0.005761694249
638	0.00571815558
639	0.005697431412
640	0.005646788182
641	0.005641933345
642	0.0055888824
643	0.005537420666
644	0.00550575972
645	0.00548083044
646	0.005442738407
647	0.005399498377
648	0.005331708927
649	0.005325862537
650	0.005309074402
651	0.005303955936
652	0.005278634546
653	0.005272533782
654	0.005264144337
655	0.005222569063
656	0.005182545581
657	0.005161245544
658	0.005136798528
659	0.00502459387
660	0.005016438249
661	0.004965895005
662	0.004922810721
663	0.004845182027
664	0.004830877733
665	0.00479869293
666	0.004784737988
667	0.004779449561
668	0.00474579871
669	0.004706809652
670	0.004651958167
671	0.004623385279
672	0.004607341977
673	0.004557920805
674	0.004537643168
675	0.004532348557
676	0.004525468479
677	0.004470596051
678	0.004466928898
679	0.004439822341
680	0.004426135618
681	0.004396180611
682	0.004376266175
683	0.004347399444
684	0.004302784515
685	0.004202301677
686	0.004198034748
687	0.004176129103
688	0.004170437896
689	0.004138542677
690	0.00411540873
691	0.004081024896
692	0.004059439589
693	0.004054213649
694	0.004023152179
695	0.004009482936
696	0.003990305106
697	0.003974370558
698	0.003935905565
699	0.003932336966
700	0.003910278408
701	0.003850571812
702	0.003822770693
703	0.003792764055
704	0.003785061454
705	0.003769525572
706	0.003743641967
707	0.003738578508
708	0.003731888686
709	0.003714614878
710	0.003685740344
711	0.003641933138
712	0.003595245906
713	0.003569030868
714	0.00354727877
715	0.003522629966
716	0.003516637694
717	0.00349811601
718	0.003462372699
719	0.003450015702
720	0.003432861305
721	0.003416821067
722	0.003392018235
723	0.003372438503
724	0.003358920971
725	0.003336370127
726	0.003332135563
727	0.003304063052
728	0.003286316571
729	0.003276833304
730	0.003258686155
731	0.003241070172
732	0.003196117466
733	0.003175521089
734	0.003159456171
735	0.003138081635
736	0.003093611711
737	0.003051263438
738	0.003005346268
739	0.003001395103
740	0.002957781039
741	0.002943620635
742	0.002937922663
743	0.00289600271
744	0.002882929319
745	0.002855769882
746	0.002835646717
747	0.002822765404
748	0.002807143407
749	0.002769783264
750	0.00275984749
751	0.002726180533
752	0.002717080639
753	0.002689562081
754	0.002684702614
755	0.002664716713
756	0.002651176494
757	0.002642488344
758	0.002624323283
759	0.00262184108
760	0.002584512735
761	0.002579630046
762	0.002523587506
763	0.002504934925
764	0.0024895837
765	0.002468498457
766	0.002453020484
767	0.002443119629
768	0.002415005226
769	0.002407791679
770	0.002396880338
771	0.002383707398
772	0.002372312029
773	0.00234453661
774	0.002330985025
775	0.002320986317
776	0.002308339728
777	0.002288747124
778	0.002285299533
779	0.002253158853
780	0.002243452073
781	0.002237462712
782	0.002206952844
783	0.002177164112
784	0.002137152256
785	0.002125507698
786	0.002115783925
787	0.002093138632
788	0.002089292926
789	0.002069951449
790	0.002067477654
791	0.002055786669
792	0.002051761283
793	0.00204103148
794	0.00202739886
795	0.002012376768
796	0.002000867636
797	0.001982649592
798	0.001963618469
799	0.001954509895
800	0.001947596757
801	0.001936954385
802	0.001926151844
803	0.001909987875
804	0.001889789451
805	0.00186075093
806	0.001856840893
807	0.00184304668
808	0.001835185349
809	0.001823720532
810	0.001814032694
811	0.00178008593
812	0.001776535801
813	0.001747430783
814	0.001744758933
815	0.001732952793
816	0.001724835759
817	0.001721810662
818	0.001720268975
819	0.001713983241
820	0.001692098324
821	0.001681681587
822	0.001671442703
823	0.001654996708
824	0.00163699169
825	0.00161217061
826	0.001603423772
827	0.001584460745
828	0.001582554621
829	0.00157604418
830	0.001574218779
831	0.001565807095
832	0.001555291527
833	0.001549275247
834	0.001536551946
835	0.001527793004
836	0.00151813943
837	0.001502973647
838	0.001487419605
839	0.001472376538
840	0.001459510994
841	0.001451157944
842	0.001434921836
843	0.00142208934
844	0.001411537973
845	0.001391876274
846	0.001383138173
847	0.001375184381
848	0.001352338862
849	0.001338966064
850	0.001336261222
851	0.001320873597
852	0.001319357255
853	0.001318171524
854	0.001313519631
855	0.00131015743
856	0.001308659997
857	0.001307615772
858	0.001288894689
859	0.001286437376
860	0.001273450329
861	0.001258395164
862	0.001246574901
863	0.001240774474
864	0.001234069176
865	0.001219949906
866	0.001208952967
867	0.001202713696
868	0.001193691277
869	0.001189827251
870	0.0011799513
871	0.001170426552
872	0.001163594816
873	0.001161565217
874	0.001146992062
875	0.001138360998
876	0.001122631843
877	0.001118863066
878	0.001107137925
879	0.001099738721
880	0.001088669519
881	0.001079169508
882	0.001075535363
883	0.001063679371
884	0.00105708406
885	0.001056336223
886	0.001048545006
887	0.001037286565
888	0.001031325323
889	0.001020582462
890	0.001011932585
891	0.00100620076
892	0.001001901253
893	0.001000078974
894	0.0009907967091
895	0.0009792221686
896	0.000972917884
897	0.0009595812211
898	0.0009545240051
899	0.0009450318547
900	0.0009405932226
901	0.000921255571
902	0.000918189164
903	0.0009146459468
904	0.0009055805111
905	0.0008947025613
906	0.0008865312612
907	0.0008757960866
908	0.0008671792322
909	0.0008617721007
910	0.000858018326
911	0.0008560450995
912	0.0008553697503
913	0.0008456315523
914	0.000842374222
915	0.0008292208175
916	0.0008267898762
917	0.0008153692646
918	0.000805534708
919	0.0008010930234
920	0.0007987551346
921	0.0007940260239
922	0.0007927454652
923	0.0007821728459
924	0.0007794762689
925	0.0007718908626
926	0.0007703655093
927	0.0007610904611
928	0.000750008094
929	0.0007374669486
930	0.0007335371659
931	0.0007268758935
932	0.0007234846734
933	0.000722811225
934	0.0007152354606
935	0.0007100901697
936	0.0007069159649
937	0.0007038250205
938	0.0007022140335
939	0.0006968542082
940	0.0006950787451
941	0.0006921200229
942	0.0006892204027
943	0.0006848446163
944	0.0006798224552
945	0.0006751480342
946	0.0006659815903
947	0.0006576656374
948	0.0006542247775
949	0.0006477007525
950	0.0006459087472
951	0.0006413833023
952	0.0006390683141
953	0.0006374851078
954	0.0006316967297
955	0.0006282670737
956	0.0006244936352
957	0.0006218279478
958	0.0006183255711
959	0.000615174739
960	0.0006093373448
961	0.0006032171827
962	0.0005995159142
963	0.0005930592021
964	0.0005883873868
965	0.0005812462339
966	0.0005764397485
967	0.0005734626693
968	0.0005667304816
969	0.0005638962074
970	0.0005622587237
971	0.000559042261
972	0.0005580847135
973	0.0005544959214
974	0.0005532671014
975	0.0005465972899
976	0.0005444954513
977	0.0005434783022
978	0.0005413055344
979	0.0005400324373
980	0.0005349095864
981	0.0005340608475
982	0.000533456905
983	0.0005271718241
984	0.0005238532664
985	0.0005157297684
986	0.000512084956
987	0.0005086176415
988	0.0005075673301
989	0.0005057806387
990	0.0005054071318
991	0.0005032178533
992	0.0005020451492
993	0.0004990029705
994	0.000493936103
995	0.0004901474701
996	0.0004894901683
997	0.0004842584286
998	0.0004799818197
999	0.0004753044157
1000	0.0004689120841
1001	0.0004648472186
1002	0.000460988594
1003	0.0004602654374
1004	0.0004556851745
1005	0.00045080315
1006	0.0004484418198
1007	0.0004438804414
1008	0.0004430202475
1009	0.0004402615785
1010	0.0004351950397
1011	0.000430523138
1012	0.0004276432684
1013	0.0004269991962
1014	0.0004250871775
1015	0.0004234185054
1016	0.0004201270397
1017	0.0004145996968
1018	0.0004124237546
1019	0.0004120308113
1020	0.0004112658802
1021	0.0004064883519
1022	0.0003994978789
1023	0.00039892492
1024	0.0003958982594
1025	0.0003952814097
1026	0.0003932840832
1027	0.0003895132689
1028	0.0003876272851
1029	0.0003850976887
1030	0.0003828154547
1031	0.0003824043012
1032	0.000382012392
1033	0.0003801556411
1034	0.0003791135234
1035	0.000378823734
1036	0.0003765186683
1037	0.0003733852661
1038	0.0003673591605
1039	0.0003647316762
1040	0.0003619733784
1041	0.0003585730218
1042	0.0003553996786
1043	0.0003485226341
1044	0.0003480500594
1045	0.0003461327776
1046	0.0003435264856
1047	0.0003411570711
1048	0.0003355915124
1049	0.0003344959439
1050	0.0003333129824
1051	0.0003315229405
1052	0.0003295538653
1053	0.0003283025545
1054	0.0003252008445
1055	0.0003249437314
1056	0.0003228687991
1057	0.0003210983665
1058	0.0003194778992
