iter	Logloss
0	0.6425514221
1	0.585369042
2	0.5581617696
3	0.5246386528
4	0.5033058098
5	0.4579195976
6	0.437239715
7	0.4094170162
8	0.3756050723
9	0.349126952
10	0.3303482192
11	0.3169757298
12	0.3050016335
13	0.2895645414
14	0.2792030062
15	0.2718892097
16	0.2565880503
17	0.2378509385
18	0.225289481
19	0.211733222
20	0.2024070195
21	0.1940960543
22	0.1838137763
23	0.17605693
24	0.1720269237
25	0.1660506725
26	0.1588460718
27	0.1542527335
28	0.1491393021
29	0.1434104613
30	0.1367534569
31	0.1338081104
32	0.1286437426
33	0.1212885806
34	0.1180145741
35	0.1105981725
36	0.1053466541
37	0.1000326531
38	0.09597088609
39	0.09374722413
40	0.09083912202
41	0.08675473077
42	0.08430274895
43	0.0806760788
44	0.07873556444
45	0.07539222922
46	0.07348319462
47	0.07086421762
48	0.06814754009
49	0.06486667906
50	0.06273073809
51	0.06036431449
52	0.05783425059
53	0.05583907877
54	0.05370660339
55	0.05245083996
56	0.05110731295
57	0.05003765225
58	0.04907508407
59	0.04782965779
60	0.0458376067
61	0.04475608042
62	0.04369699103
63	0.04167620625
64	0.04087179899
65	0.03967654705
66	0.03886468496
67	0.03791621753
68	0.03715597732
69	0.03581181169
70	0.0349969949
71	0.03422372895
72	0.03344382984
73	0.03276414956
74	0.0320824406
75	0.03141719529
76	0.03075731226
77	0.03010185276
78	0.02952189956
79	0.02896357008
80	0.02842786057
81	0.02791152469
82	0.02743520907
83	0.02695479138
84	0.02649351529
85	0.02604557574
86	0.02561420202
87	0.02521150027
88	0.02480452827
89	0.02441344304
90	0.02405140868
91	0.02368139369
92	0.02332027256
93	0.02297214951
94	0.02263597505
95	0.02230792386
96	0.02198709548
97	0.02167917149
98	0.02137983697
99	0.0210993886
100	0.02081253699
101	0.02054844797
102	0.0202909559
103	0.02003849617
104	0.01977920532
105	0.01952657104
106	0.01928284126
107	0.01904426089
108	0.0188121966
109	0.01858394487
110	0.01836099156
111	0.018155049
112	0.01794401237
113	0.01774692003
114	0.01754477301
115	0.01734777221
116	0.01715462336
117	0.0169746003
118	0.01678947572
119	0.01661737902
120	0.01643982743
121	0.0162647622
122	0.01609458987
123	0.01592910396
124	0.01577343047
125	0.01561380923
126	0.01546507542
127	0.0153116669
128	0.0151610566
129	0.01501182147
130	0.01487234448
131	0.01472956049
132	0.01459040386
133	0.01445376447
134	0.01432548783
135	0.01419216394
136	0.01406865035
137	0.0139415477
138	0.01381580106
139	0.01369215548
140	0.01357624786
141	0.01344665566
142	0.013320082
143	0.01319557428
144	0.01307392865
145	0.01295333888
146	0.01284942457
147	0.01273350205
148	0.01262032028
149	0.01250931727
150	0.01240027589
151	0.01229867126
152	0.01219308802
153	0.01208913326
154	0.0119878373
155	0.01188806551
156	0.01178898343
157	0.0116929646
158	0.01160308719
159	0.01150963775
160	0.01141840432
161	0.0113285599
162	0.01123981391
163	0.01115744774
164	0.01107172987
165	0.01098764901
166	0.01090385978
167	0.01082157769
168	0.01074483671
169	0.0106653454
170	0.01058756241
171	0.01051086826
172	0.01043331091
173	0.01036249633
174	0.01028839179
175	0.01021607433
176	0.01014471586
177	0.01007752546
178	0.0100083862
179	0.009939499199
180	0.009871831962
181	0.009804885302
182	0.009742900729
183	0.009677273887
184	0.009612164327
185	0.009548650256
186	0.009489795991
187	0.009428857693
188	0.009368232318
189	0.00930838074
190	0.009252429008
191	0.009194122893
192	0.009137202586
193	0.0090799949
194	0.009026941444
195	0.008971709226
196	0.008916882532
197	0.00886343047
198	0.008812373238
199	0.008760147329
200	0.008707963995
201	0.008656743382
202	0.008608431688
203	0.008557932717
204	0.008507866412
205	0.008461724435
206	0.008413440415
207	0.008364961616
208	0.008318573236
209	0.00827381068
210	0.008227769285
211	0.008182588433
212	0.008138960493
213	0.00809452257
214	0.008050303374
215	0.008007005389
216	0.007965736091
217	0.007923284812
218	0.007881096431
219	0.007839522191
220	0.007800079882
221	0.007757992617
222	0.007717180465
223	0.007679680628
224	0.007639622582
225	0.007601262203
226	0.007563579828
227	0.007524820843
228	0.007487567408
229	0.007448411946
230	0.007413094597
231	0.007375994963
232	0.007339145456
233	0.007304706744
234	0.007268050419
235	0.007232421743
236	0.007196599884
237	0.007162656103
238	0.007127947041
239	0.007094179945
240	0.007062317005
241	0.007028350873
242	0.00699569072
243	0.00696464628
244	0.006932409746
245	0.00690027007
246	0.006868045245
247	0.006838438766
248	0.006806499724
249	0.006775349379
250	0.006745819535
251	0.006714986903
252	0.006684787571
253	0.006656740393
254	0.006626990225
255	0.006597532758
256	0.00656897894
257	0.006540585841
258	0.006511893656
259	0.006483505879
260	0.006456806191
261	0.00642876806
262	0.006401060947
263	0.00637573536
264	0.006347873913
265	0.006320889507
266	0.006295736879
267	0.006269376193
268	0.006243135248
269	0.006218166756
270	0.006192688431
271	0.006166642266
272	0.006141221949
273	0.006117404039
274	0.006092332836
275	0.00606714668
276	0.006043678416
277	0.006019625813
278	0.005995407701
279	0.005972489715
280	0.005948296083
281	0.005924606962
282	0.005902355271
283	0.005878927452
284	0.005856077586
285	0.00583412924
286	0.005811119718
287	0.005788339568
288	0.005767527436
289	0.005745006459
290	0.005722918681
291	0.005700757461
292	0.005680801081
293	0.0056588224
294	0.005637199219
295	0.005617169397
296	0.005596381745
297	0.005575772907
298	0.005555839411
299	0.005534652088
300	0.005514152348
301	0.005495239049
302	0.005475145366
303	0.005455217191
304	0.005436333162
305	0.005416473108
306	0.005396471492
307	0.005377908903
308	0.005358823176
309	0.005339691149
310	0.00532176452
311	0.005303227476
312	0.005284266812
313	0.005265553083
314	0.005247994725
315	0.005229343793
316	0.005211396941
317	0.005194340433
318	0.005175959851
319	0.005158186491
320	0.005141201296
