iter	Passed	Remaining
0	3	31676
1	6	28599
2	10	27608
3	13	27186
4	15	26030
5	18	24577
6	20	23420
7	21	22300
8	22	20908
9	24	19796
10	25	18940
11	26	18163
12	27	17448
13	28	16816
14	30	16501
15	31	16080
16	32	15750
17	33	15379
18	35	15074
19	36	14924
20	37	14665
21	38	14425
22	40	14226
23	41	14024
24	42	13815
25	43	13641
26	44	13483
27	45	13326
28	46	13179
29	47	13044
30	49	12953
31	50	12861
32	51	12766
33	52	12665
34	53	12579
35	55	12524
36	56	12450
37	57	12377
38	58	12313
39	60	12310
40	61	12297
41	63	12274
42	64	12243
43	66	12234
44	67	12212
45	68	12192
46	70	12176
47	71	12153
48	73	12153
49	74	12150
50	76	12141
51	77	12140
52	79	12148
53	80	12194
54	82	12211
55	84	12211
56	85	12212
57	87	12230
58	88	12251
59	90	12328
60	92	12333
61	94	12354
62	95	12377
63	97	12400
64	99	12412
65	100	12432
66	102	12442
67	104	12451
68	106	12483
69	107	12487
70	109	12493
71	110	12513
72	112	12522
73	114	12526
74	115	12533
75	117	12559
76	119	12577
77	121	12589
78	122	12593
79	124	12612
80	126	12624
81	127	12639
82	129	12655
83	131	12672
84	133	12731
85	135	12780
86	137	12807
87	140	12898
88	142	12946
89	144	12980
90	146	12998
91	147	13017
92	149	13056
93	151	13072
94	153	13098
95	155	13107
96	157	13127
97	159	13149
98	160	13159
99	162	13179
100	165	13273
101	167	13293
102	169	13349
103	171	13376
104	173	13394
105	175	13417
106	177	13434
107	179	13461
108	181	13466
109	183	13471
110	185	13493
111	187	13501
112	189	13515
113	191	13552
114	193	13576
115	195	13580
116	196	13582
117	198	13593
118	200	13615
119	202	13623
120	204	13630
121	206	13638
122	208	13664
123	210	13690
124	212	13713
125	214	13737
126	216	13747
127	218	13770
128	220	13779
129	222	13786
130	224	13794
131	226	13800
132	228	13819
133	229	13830
134	231	13837
135	233	13843
136	235	13852
137	238	13892
138	240	13911
139	242	13952
140	244	13962
141	246	13979
142	248	13995
143	250	14007
144	252	14020
145	254	14037
146	256	14059
147	258	14071
148	260	14076
149	262	14095
150	264	14102
151	266	14108
152	268	14122
153	270	14139
154	273	14190
155	275	14205
156	277	14208
157	279	14214
158	281	14219
159	283	14236
160	285	14242
161	287	14250
162	289	14260
163	291	14269
164	293	14281
165	295	14289
166	297	14291
167	299	14294
168	301	14303
169	303	14313
170	305	14327
171	307	14340
172	309	14348
173	311	14366
174	313	14376
175	316	14397
176	318	14409
177	320	14422
178	322	14441
179	325	14470
180	327	14483
181	329	14498
182	332	14530
183	334	14541
184	336	14558
185	338	14565
186	340	14579
187	342	14593
188	344	14604
189	346	14613
190	349	14624
191	351	14639
192	353	14649
193	356	14710
194	359	14736
195	361	14744
196	363	14749
197	365	14753
198	367	14758
199	369	14764
200	371	14767
201	373	14772
202	376	14814
203	378	14825
204	380	14827
205	382	14836
206	384	14837
207	386	14837
208	388	14837
209	390	14849
210	392	14857
211	394	14860
212	397	14885
213	399	14890
214	401	14890
215	403	14895
216	407	14961
217	410	15012
218	412	15012
219	414	15013
220	416	15014
221	418	15014
222	420	15013
223	421	15010
224	423	15009
225	425	15010
226	427	15014
227	429	15014
228	431	15014
