iter	Passed	Remaining
0	3	25795
1	6	26215
2	8	23453
3	12	25313
4	15	25399
5	19	26903
6	22	26062
7	25	26373
8	28	26095
9	34	28045
10	37	27528
11	39	27156
12	42	26867
13	44	26182
14	47	25782
15	49	25145
16	51	24671
17	53	24208
18	55	23859
19	57	23545
20	61	23897
21	66	24675
22	69	24637
23	73	25047
24	76	24858
25	79	24867
26	81	24739
27	84	24650
28	87	24522
29	89	24243
30	92	24330
31	94	24194
32	97	24127
33	99	23940
34	102	23884
35	104	23652
36	106	23448
37	108	23230
38	110	23070
39	112	22889
40	114	22796
41	117	22708
42	121	22980
43	123	22875
44	125	22710
45	127	22571
46	130	22609
47	132	22499
48	135	22450
49	137	22352
50	139	22250
51	141	22151
52	143	22089
53	146	22150
54	149	22124
55	151	22044
56	153	21944
57	155	21842
58	158	21818
59	160	21738
60	162	21710
61	165	21654
62	167	21614
63	169	21573
64	172	21545
65	174	21535
66	177	21548
67	180	21606
68	183	21644
69	186	21643
70	190	21740
71	194	21880
72	198	22096
73	203	22293
74	205	22247
75	208	22272
76	210	22234
77	213	22211
78	215	22151
79	217	22082
80	219	22000
81	221	21911
82	223	21839
83	226	21841
84	229	21852
85	231	21785
86	233	21724
87	235	21688
88	238	21731
89	241	21715
90	243	21713
91	246	21718
92	249	21714
93	251	21688
94	254	21683
95	257	21721
96	263	21963
97	268	22151
98	271	22160
99	273	22141
100	275	22107
101	278	22089
102	280	22059
103	283	22066
104	286	22057
105	290	22122
106	292	22074
107	294	22066
108	298	22099
109	301	22126
110	303	22112
111	306	22088
112	309	22098
113	311	22049
114	313	22004
115	317	22084
116	319	22069
117	322	22066
118	324	22046
119	327	22031
120	329	21989
121	332	21974
122	335	21999
123	337	21951
124	339	21897
125	341	21854
126	343	21836
127	346	21822
128	349	21820
129	351	21790
130	353	21767
131	356	21752
132	359	21790
133	361	21763
134	364	21734
135	368	21857
136	373	21937
137	375	21895
138	377	21873
139	381	21934
140	387	22143
141	391	22209
142	394	22223
143	398	22255
144	401	22278
145	404	22299
146	408	22383
147	412	22431
148	417	22515
149	421	22602
150	424	22604
151	427	22588
152	432	22713
153	436	22783
154	440	22825
155	444	22876
156	447	22915
157	450	22925
158	456	23055
159	459	23061
160	463	23112
161	465	23095
162	468	23058
163	470	23037
164	473	23015
165	475	23001
166	480	23083
167	482	23063
168	485	23035
169	487	23007
170	489	22975
171	492	22949
172	496	23004
173	499	22995
174	504	23117
175	509	23202
176	513	23233
177	515	23206
178	517	23175
179	520	23164
180	522	23139
181	525	23140
182	528	23140
183	531	23117
184	534	23122
185	536	23104
186	539	23075
187	541	23044
188	543	23021
189	546	22998
190	548	22995
191	551	22965
192	553	22933
193	555	22917
194	558	22909
195	562	22929
196	565	22944
197	568	22944
198	570	22914
199	572	22881
200	574	22848
201	577	22825
202	580	22841
203	584	22871
204	587	22877
205	589	22858
206	592	22844
207	597	22933
208	600	22948
209	604	22982
210	607	22961
211	609	22930
212	611	22901
213	613	22882
214	616	22856
215	618	22830
216	621	22844
217	623	22821
218	626	22810
219	629	22803
220	632	22801
221	636	22841
222	641	22911
223	646	22981
224	649	22990
225	653	23025
226	657	23063
227	660	23058
228	662	23048
229	665	23029
230	667	23004
231	670	23010
232	673	22989
233	675	22972
234	677	22952
235	680	22941
236	683	22928
237	686	22928
238	689	22935
239	692	22942
240	695	22937
241	698	22961
242	705	23072
243	708	23071
244	710	23055
245	712	23024
246	714	22993
247	717	22972
248	719	22947
249	721	22918
250	724	22906
251	726	22893
252	729	22881
253	731	22869
254	734	22846
255	736	22824
256	738	22813
257	741	22801
258	748	22932
259	753	22982
260	755	22958
261	758	22947
262	760	22920
263	762	22895
264	765	22883
265	767	22855
266	769	22827
267	771	22809
268	773	22788
269	777	22797
270	779	22786
271	781	22763
272	785	22771
273	788	22776
274	790	22768
275	794	22773
276	796	22762
277	799	22753
278	803	22788
279	806	22781
280	808	22771
281	813	22823
282	817	22837
283	823	22934
284	827	22965
285	830	22969
286	833	22962
287	836	22951
288	838	22927
289	840	22904
290	843	22889
291	844	22860
292	847	22835
293	862	23172
294	866	23184
295	869	23192
296	871	23166
297	874	23171
298	878	23199
299	884	23273
300	889	23314
301	891	23302
302	894	23290
303	897	23293
304	900	23283
305	903	23287
306	906	23276
307	909	23278
308	912	23268
309	914	23256
310	916	23232
311	918	23205
312	921	23186
313	923	23164
314	925	23138
315	927	23114
316	929	23090
317	932	23087
318	935	23096
319	939	23105
320	942	23098
321	944	23088
322	946	23064
323	948	23042
324	951	23023
325	955	23060
326	973	23407
327	978	23448
328	981	23456
329	984	23459
330	987	23461
331	991	23478
332	995	23484
333	998	23498
334	1003	23547
335	1007	23556
336	1012	23611
337	1019	23688
338	1027	23791
339	1032	23854
340	1038	23907
341	1042	23930
342	1047	23974
343	1053	24029
344	1055	24013
345	1058	23998
346	1060	23985
347	1064	23991
348	1067	23980
349	1072	24027
350	1075	24019
351	1078	24017
352	1084	24090
353	1087	24075
354	1089	24060
355	1092	24045
356	1095	24035
357	1097	24026
358	1100	24011
359	1103	24004
360	1106	23996
361	1110	24021
362	1114	24028
363	1117	24032
364	1122	24078
365	1128	24136
366	1135	24204
367	1138	24201
368	1150	24384
369	1155	24430
370	1158	24424
371	1163	24452
372	1165	24438
373	1168	24422
374	1170	24408
375	1173	24395
376	1177	24400
377	1180	24396
378	1183	24405
379	1187	24421
380	1191	24422
381	1195	24450
382	1200	24486
383	1209	24590
384	1213	24603
385	1217	24613
386	1219	24598
387	1222	24592
388	1226	24610
389	1232	24660
390	1235	24656
391	1239	24669
392	1242	24653
393	1245	24648
394	1248	24652
395	1251	24634
396	1254	24641
397	1258	24643
398	1261	24629
399	1263	24616
400	1267	24616
401	1271	24648
402	1274	24639
403	1278	24642
404	1281	24632
405	1283	24618
406	1287	24619
407	1289	24605
408	1292	24595
409	1295	24579
410	1297	24567
411	1300	24552
412	1302	24542
413	1307	24557
414	1309	24545
415	1313	24545
416	1316	24538
417	1319	24532
418	1321	24517
419	1325	24520
420	1327	24505
421	1330	24491
422	1333	24484
423	1335	24476
424	1339	24483
425	1343	24496
426	1346	24483
427	1348	24468
428	1351	24455
429	1353	24439
430	1356	24425
431	1360	24432
432	1362	24410
433	1364	24395
434	1367	24382
435	1369	24369
436	1372	24352
437	1374	24330
438	1376	24309
439	1378	24287
440	1381	24279
441	1384	24267
442	1386	24252
443	1389	24244
444	1391	24225
445	1393	24204
446	1396	24193
447	1400	24213
448	1403	24207
449	1407	24210
450	1410	24203
451	1413	24202
452	1416	24197
453	1418	24182
454	1421	24167
455	1423	24152
456	1426	24138
457	1429	24135
458	1434	24163
459	1437	24157
460	1440	24154
461	1444	24160
462	1448	24179
463	1452	24189
464	1455	24190
465	1460	24217
466	1465	24237
467	1468	24239
468	1471	24234
469	1474	24229
470	1477	24223
471	1481	24238
472	1484	24232
473	1488	24243
474	1492	24244
475	1495	24238
476	1498	24237
477	1501	24237
478	1505	24244
479	1510	24269
480	1513	24260
481	1516	24261
482	1519	24258
483	1522	24244
484	1527	24267
485	1529	24257
486	1532	24247
487	1536	24250
488	1538	24243
489	1541	24227
490	1543	24210
491	1547	24211
492	1549	24199
493	1552	24187
494	1555	24181
495	1557	24166
496	1560	24153
497	1563	24151
498	1566	24145
499	1569	24149
500	1572	24138
501	1574	24123
502	1577	24118
503	1580	24107
504	1583	24104
505	1587	24106
506	1590	24109
507	1594	24113
508	1596	24095
509	1598	24077
510	1600	24059
511	1605	24077
512	1609	24086
513	1612	24083
514	1616	24098
515	1620	24113
516	1623	24103
517	1626	24091
518	1628	24077
519	1631	24068
520	1633	24054
521	1635	24037
522	1638	24020
523	1641	24020
524	1644	24010
525	1646	23993
526	1648	23979
527	1651	23975
528	1655	23979
529	1664	24056
530	1670	24103
531	1673	24100
532	1677	24104
533	1680	24101
534	1683	24099
535	1687	24104
536	1693	24141
537	1702	24227
538	1710	24292
539	1717	24336
540	1723	24376
541	1726	24364
542	1728	24351
543	1731	24341
544	1734	24333
545	1736	24317
546	1739	24315
547	1743	24322
548	1746	24318
549	1749	24301
550	1751	24284
551	1753	24268
552	1756	24260
553	1759	24257
554	1761	24238
555	1763	24224
556	1766	24209
557	1768	24191
558	1770	24173
559	1772	24156
560	1774	24141
561	1777	24128
562	1779	24113
563	1782	24107
564	1785	24100
565	1787	24085
566	1789	24067
567	1791	24052
568	1794	24047
569	1798	24044
570	1801	24039
571	1804	24034
572	1808	24048
573	1811	24039
574	1813	24024
575	1816	24013
576	1818	24001
577	1820	23985
578	1822	23966
579	1824	23951
580	1827	23935
581	1829	23919
582	1831	23908
583	1833	23890
584	1836	23876
585	1838	23863
586	1842	23874
587	1848	23905
588	1851	23905
589	1854	23893
590	1857	23886
591	1859	23873
592	1861	23858
593	1864	23851
594	1866	23837
595	1870	23834
596	1873	23830
597	1875	23822
598	1878	23815
599	1881	23805
600	1886	23829
601	1889	23826
602	1891	23811
603	1894	23804
604	1896	23785
605	1898	23769
606	1901	23755
607	1903	23741
608	1905	23725
609	1907	23712
610	1910	23704
611	1913	23694
612	1916	23693
613	1920	23708
614	1923	23702
615	1926	23691
616	1928	23682
617	1931	23671
618	1933	23651
619	1935	23632
620	1937	23619
621	1939	23608
622	1942	23595
623	1944	23584
624	1947	23573
625	1949	23560
626	1951	23547
627	1953	23533
628	1955	23514
629	1957	23500
630	1960	23487
631	1962	23472
632	1964	23458
633	1966	23448
634	1970	23445
635	1971	23428
636	1974	23415
637	1976	23397
638	1978	23381
639	1979	23363
640	1981	23345
641	1983	23328
642	1985	23309
643	1987	23297
644	1990	23292
645	1992	23278
646	1994	23263
647	1997	23250
648	1999	23236
649	2001	23226
650	2003	23213
651	2006	23199
652	2008	23183
653	2010	23170
654	2012	23159
655	2014	23144
656	2016	23131
657	2019	23126
658	2022	23119
659	2026	23125
660	2029	23121
661	2032	23116
662	2035	23109
663	2037	23103
664	2042	23118
665	2045	23113
666	2051	23142
667	2053	23133
668	2056	23124
669	2058	23114
670	2061	23104
671	2063	23091
672	2065	23076
673	2067	23059
674	2069	23043
675	2071	23034
676	2074	23025
677	2077	23022
678	2079	23014
679	2082	23003
680	2085	22998
681	2088	22995
682	2090	22985
683	2092	22972
684	2095	22967
685	2098	22956
686	2100	22950
687	2104	22953
688	2107	22954
689	2111	22960
690	2115	22959
691	2117	22948
692	2119	22937
693	2121	22925
694	2124	22916
695	2127	22914
696	2130	22912
697	2133	22904
698	2136	22899
699	2138	22891
700	2141	22881
