iter	Passed	Remaining
0	2	21381
1	5	24298
2	8	22637
3	11	23052
4	13	21508
5	14	20290
6	16	19440
7	18	18760
8	19	18154
9	21	17973
10	23	17677
11	25	17444
12	27	17152
13	28	16911
14	30	16689
15	32	16530
16	34	16396
17	35	16297
18	37	16183
19	39	16211
20	42	16569
21	44	16639
22	46	16489
23	48	16374
24	49	16272
25	51	16181
26	53	16128
27	55	16164
28	57	16240
29	59	16203
30	61	16174
31	63	16128
32	65	16074
33	66	16020
34	68	15961
35	70	15868
36	71	15821
37	73	15778
38	75	15721
39	76	15681
40	78	15650
41	80	15624
42	82	15684
43	84	15640
44	86	15573
45	87	15516
46	89	15474
47	91	15449
48	92	15415
49	94	15372
50	96	15340
51	97	15310
52	99	15312
53	101	15288
54	103	15271
55	105	15265
56	107	15301
57	108	15272
58	110	15259
59	112	15239
60	114	15321
61	116	15309
62	118	15271
63	120	15246
64	121	15226
65	123	15247
66	125	15242
67	127	15287
68	130	15362
69	132	15400
70	135	15455
71	137	15476
72	139	15467
73	140	15451
74	142	15457
75	144	15446
76	146	15429
77	148	15421
78	150	15406
79	151	15399
80	153	15391
81	155	15392
82	157	15379
83	160	15446
84	161	15444
85	163	15436
86	165	15423
87	167	15427
88	169	15426
89	171	15408
90	173	15407
91	174	15394
92	176	15379
93	178	15376
94	180	15369
95	182	15368
96	184	15363
97	185	15354
98	187	15351
99	190	15432
100	192	15450
101	194	15461
102	196	15470
103	198	15474
104	201	15488
105	203	15493
106	205	15530
107	207	15533
108	209	15535
109	211	15539
110	213	15537
111	215	15538
112	217	15539
113	219	15559
114	223	15666
115	227	15833
116	230	15933
117	233	15948
118	235	16005
119	238	16028
120	240	16042
121	242	16044
122	244	16047
123	246	16048
124	250	16157
125	252	16163
126	254	16163
127	256	16172
128	258	16177
129	260	16185
130	263	16189
131	265	16234
132	270	16377
133	274	16499
134	277	16551
135	280	16625
136	282	16636
137	285	16638
138	287	16643
139	289	16653
140	291	16663
141	293	16666
142	296	16701
143	299	16725
144	301	16734
145	303	16737
146	305	16741
147	308	16745
148	310	16754
149	312	16765
150	314	16774
151	317	16779
152	320	16855
153	323	16907
154	326	16925
155	329	16953
156	331	16957
157	333	16966
158	335	16974
159	338	16988
160	341	17019
161	345	17134
162	349	17236
163	353	17289
164	355	17301
165	359	17358
166	361	17374
167	364	17414
168	367	17428
169	369	17431
170	372	17475
171	375	17527
172	379	17601
173	382	17617
174	384	17621
175	387	17640
176	390	17662
177	392	17667
178	394	17673
179	397	17676
180	399	17678
181	401	17680
182	405	17766
183	409	17841
184	414	17921
185	418	18014
186	421	18060
187	424	18066
188	426	18066
189	428	18064
190	431	18065
191	434	18101
192	437	18151
193	440	18168
194	443	18172
195	445	18168
196	447	18164
197	450	18168
198	452	18166
199	454	18167
200	456	18161
201	459	18161
202	461	18161
203	464	18178
204	469	18280
205	472	18323
206	476	18363
207	479	18417
208	482	18440
209	486	18481
210	488	18496
211	491	18490
212	493	18490
213	496	18505
214	498	18510
215	501	18505
216	504	18531
217	507	18556
218	509	18553
219	511	18551
220	514	18543
221	516	18537
222	519	18552
223	522	18571
224	524	18572
225	528	18617
226	531	18640
227	533	18642
228	536	18639
229	538	18640
230	541	18646
231	543	18642
232	545	18638
233	547	18633
