iter	Passed	Remaining
0	3	25574
1	5	23819
2	8	23576
3	11	23221
4	14	23034
5	16	22826
6	19	22862
7	22	22678
8	25	22797
9	45	37080
10	49	37151
11	59	40634
12	70	44591
13	73	43174
14	77	42326
15	79	40845
16	82	39525
17	84	38391
18	87	37560
19	90	37123
20	94	36830
21	96	35976
22	99	35163
23	103	35291
24	108	35324
25	112	35363
26	116	35224
27	118	34640
28	122	34609
29	125	34220
30	130	34470
31	133	34095
32	137	33933
33	144	34743
34	148	34520
35	153	34716
36	156	34503
37	235	50480
38	238	49885
39	241	49220
40	249	49624
41	272	52851
42	275	52176
43	285	52782
44	287	52111
45	300	53139
46	310	53748
47	323	54949
48	329	54680
49	332	54090
50	336	53725
51	340	53230
52	368	56559
53	370	55827
54	407	60294
55	414	60179
56	424	60637
57	431	60525
58	438	60490
59	442	59950
60	446	59463
61	449	58900
62	451	58270
63	453	57647
64	456	57122
65	459	56570
66	462	56071
67	465	55622
68	468	55202
69	472	54803
70	475	54386
71	477	53906
72	480	53455
73	483	53051
74	486	52627
75	488	52197
76	492	51951
77	500	52078
78	512	52682
79	516	52421
80	519	52005
81	522	51685
82	526	51439
83	532	51399
84	534	50990
85	537	50689
86	543	50641
87	546	50366
88	550	50083
89	554	49933
90	558	49683
91	560	49374
92	564	49161
93	569	49033
94	581	49539
95	590	49828
96	597	49858
97	600	49589
98	602	49277
99	605	48969
100	607	48657
101	609	48375
102	612	48110
103	619	48163
104	623	48037
105	632	48253
106	636	48112
107	643	48202
108	653	48426
109	659	48421
110	666	48555
111	670	48407
112	677	48452
113	682	48333
114	684	48062
115	686	47795
116	689	47575
117	693	47428
118	698	47360
119	700	47124
120	705	47084
121	708	46895
122	711	46697
123	714	46496
124	719	46401
125	724	46355
126	733	46563
127	738	46541
128	744	46512
129	748	46412
130	750	46191
131	752	45963
132	755	45756
133	757	45546
134	759	45333
135	763	45239
136	766	45040
137	768	44867
138	772	44750
139	775	44618
140	779	44493
141	783	44419
142	786	44266
143	789	44113
144	793	44033
145	799	44041
146	804	44034
147	807	43897
148	826	44625
149	859	46087
150	874	46592
151	889	47055
152	898	47188
153	910	47520
154	921	47779
155	931	47959
156	934	47844
157	941	47878
158	947	47892
159	951	47777
160	961	47981
161	976	48417
162	980	48285
163	990	48510
164	1012	49256
165	1020	49351
166	1035	49752
167	1041	49762
168	1055	50119
169	1081	51041
170	1089	51118
171	1104	51504
172	1121	51975
173	1126	51915
174	1129	51738
175	1132	51568
176	1135	51406
177	1138	51252
178	1142	51163
179	1146	51019
180	1149	50862
181	1153	50752
182	1156	50597
183	1161	50555
184	1184	51265
185	1197	51526
186	1206	51662
187	1218	51872
188	1223	51826
189	1227	51684
190	1229	51507
191	1232	51349
192	1235	51197
193	1238	51073
194	1242	50949
195	1246	50851
196	1252	50817
197	1260	50873
198	1267	50892
199	1277	51055
200	1292	51382
201	1301	51462
202	1314	51735
203	1318	51625
204	1323	51583
205	1328	51508
206	1332	51408
207	1336	51287
208	1345	51387
209	1355	51509
210	1364	51622
211	1369	51565
212	1374	51499
213	1377	51351
214	1380	51207
215	1382	51046
216	1386	50970
217	1389	50814
218	1391	50674
219	1395	50553
220	1399	50479
221	1409	50598
222	1413	50497
223	1418	50462
224	1423	50404
225	1430	50437
226	1439	50501
227	1444	50455
228	1450	50447
229	1457	50457
230	1463	50422
231	1466	50323
232	1469	50193
233	1473	50098
234	1477	50023
235	1483	50024
236	1487	49912
237	1489	49781
238	1495	49762
239	1508	49975
240	1518	50101
241	1522	50010
242	1524	49870
243	1527	49742
244	1529	49613
245	1532	49485
246	1536	49435
247	1539	49310
248	1541	49186
249	1555	49402
250	1559	49354
251	1562	49241
252	1567	49201
253	1570	49079
254	1576	49071
255	1582	49067
256	1586	48986
257	1589	48891
258	1593	48817
259	1596	48698
260	1598	48575
261	1601	48468
262	1605	48389
263	1609	48333
264	1611	48214
265	1614	48111
266	1619	48077
267	1622	47958
268	1625	47865
269	1628	47789
270	1630	47669
271	1633	47564
272	1635	47447
273	1637	47330
274	1640	47224
275	1642	47114
276	1645	47027
277	1653	47075
278	1660	47100
279	1662	46990
280	1666	46928
281	1669	46821
282	1671	46712
283	1673	46609
284	1676	46513
285	1678	46404
286	1680	46297
287	1683	46193
288	1685	46084
289	1687	45979
290	1690	45895
291	1692	45789
292	1694	45692
293	1697	45599
294	1700	45513
295	1703	45432
296	1706	45367
297	1709	45276
298	1711	45192
299	1714	45101
300	1717	45020
301	1721	44972
302	1724	44910
303	1728	44850
304	1736	44909
305	1742	44902
306	1745	44835
307	1747	44741
308	1749	44641
309	1752	44553
310	1754	44465
311	1756	44371
312	1762	44355
313	1765	44289
314	1771	44297
315	1774	44217
316	1777	44160
317	1780	44091
318	1783	44011
319	1785	43926
320	1788	43846
321	1790	43762
322	1793	43695
323	1795	43613
324	1801	43598
325	1803	43514
326	1806	43448
327	1813	43479
328	1816	43406
329	1820	43361
330	1823	43311
331	1826	43231
332	1828	43147
333	1831	43082
334	1833	43006
335	1838	42981
336	1842	42941
337	1846	42895
338	1851	42883
339	1856	42875
340	1860	42825
341	1862	42755
342	1867	42745
343	1878	42849
344	1882	42819
345	1888	42819
346	1892	42776
347	1895	42716
348	1899	42680
349	1901	42600
350	1904	42540
351	1906	42466
352	1909	42402
353	1911	42328
354	1915	42285
355	1918	42235
356	1920	42159
357	1925	42133
358	1931	42133
359	1934	42082
360	1936	42011
361	1940	41965
362	1943	41918
363	1947	41874
364	1951	41849
365	1957	41851
366	1959	41788
367	1963	41742
368	1967	41714
369	1970	41666
370	1974	41626
371	1977	41570
372	1979	41500
373	1981	41430
374	1983	41354
375	1986	41293
376	1988	41224
377	1992	41183
378	1994	41119
379	1997	41062
380	2002	41046
381	2007	41044
382	2010	40992
383	2013	40936
384	2015	40869
385	2018	40809
386	2020	40744
387	2024	40717
388	2026	40655
389	2030	40612
390	2034	40584
391	2038	40560
392	2042	40526
393	2045	40480
394	2049	40447
395	2051	40379
396	2053	40313
397	2055	40247
398	2057	40181
399	2059	40118
400	2062	40072
401	2064	40008
402	2066	39947
403	2069	39890
404	2071	39828
405	2074	39784
406	2078	39750
407	2080	39693
408	2083	39647
409	2086	39596
410	2088	39539
411	2090	39480
412	2093	39422
413	2095	39376
414	2098	39317
415	2100	39265
416	2104	39233
417	2108	39212
418	2111	39178
419	2116	39173
420	2119	39121
421	2121	39062
422	2123	39006
423	2125	38947
424	2128	38890
425	2130	38832
426	2132	38772
427	2134	38715
428	2136	38656
429	2139	38624
430	2142	38571
431	2144	38517
432	2146	38463
433	2148	38409
434	2151	38358
435	2153	38309
436	2155	38252
437	2158	38219
438	2161	38178
439	2164	38133
440	2166	38081
441	2169	38037
442	2172	38000
443	2177	37993
444	2180	37966
445	2183	37915
446	2185	37873
447	2188	37827
448	2190	37772
449	2193	37737
450	2195	37683
451	2197	37630
452	2199	37577
453	2201	37524
454	2204	37480
455	2206	37429
456	2208	37387
457	2211	37351
458	2214	37305
459	2217	37273
460	2223	37285
461	2229	37296
462	2231	37254
463	2235	37226
464	2238	37205
465	2241	37165
466	2245	37151
467	2248	37113
468	2255	37134
469	2258	37104
470	2262	37089
471	2266	37069
472	2269	37043
473	2272	37004
474	2275	36972
475	2278	36930
476	2280	36886
477	2282	36842
478	2285	36796
479	2287	36752
480	2290	36718
481	2293	36678
482	2296	36646
483	2298	36601
484	2300	36556
485	2303	36516
486	2306	36488
487	2310	36480
488	2313	36447
489	2316	36406
490	2319	36384
491	2322	36348
492	2325	36323
493	2329	36302
494	2332	36272
495	2340	36311
496	2348	36354
497	2351	36329
498	2353	36284
499	2355	36239
500	2357	36197
501	2360	36157
502	2362	36113
503	2364	36074
504	2367	36030
505	2369	35985
506	2371	35940
507	2374	35910
508	2376	35868
509	2379	35846
510	2383	35822
511	2385	35778
512	2388	35756
513	2391	35717
514	2393	35683
515	2395	35641
516	2398	35603
517	2400	35561
518	2404	35542
519	2406	35505
520	2409	35479
521	2413	35462
522	2416	35440
523	2420	35419
524	2423	35395
525	2426	35357
526	2428	35317
527	2430	35275
528	2432	35234
529	2434	35198
530	2436	35154
531	2438	35110
532	2441	35076
533	2443	35043
534	2445	35003
535	2449	34984
536	2454	34986
537	2458	34976
538	2460	34938
539	2462	34900
540	2464	34859
541	2467	34830
542	2471	34809
543	2472	34765
544	2474	34726
545	2477	34692
546	2480	34669
547	2482	34633
548	2485	34604
549	2489	34587
550	2491	34546
551	2494	34526
552	2498	34513
553	2500	34477
554	2502	34439
555	2504	34397
556	2506	34360
557	2508	34324
558	2510	34285
559	2513	34261
560	2516	34224
561	2518	34186
562	2519	34146
563	2522	34110
564	2524	34073
565	2526	34042
566	2529	34014
567	2531	33981
568	2534	33959
569	2537	33926
570	2539	33891
571	2541	33862
572	2544	33833
573	2547	33810
574	2551	33794
575	2554	33776
576	2558	33763
577	2561	33741
578	2565	33729
579	2570	33729
580	2572	33700
581	2574	33660
582	2576	33622
583	2577	33584
584	2579	33542
585	2581	33503
586	2584	33480
587	2585	33441
588	2587	33404
589	2590	33374
590	2592	33339
591	2594	33309
592	2596	33275
593	2599	33247
594	2601	33210
595	2603	33176
596	2605	33145
597	2607	33113
598	2609	33078
599	2611	33046
600	2614	33023
601	2618	33009
602	2621	32990
603	2625	32979
604	2627	32949
605	2630	32932
606	2632	32896
607	2635	32871
608	2637	32845
609	2640	32824
610	2642	32787
611	2644	32751
612	2646	32715
613	2647	32678
614	2649	32643
615	2652	32617
616	2654	32584
617	2655	32549
618	2657	32517
619	2660	32486
620	2662	32455
621	2664	32427
622	2666	32396
623	2668	32366
624	2670	32335
625	2672	32302
626	2674	32269
627	2676	32237
628	2678	32208
629	2681	32188
630	2684	32168
631	2691	32194
632	2694	32179
633	2698	32168
634	2700	32139
635	2703	32117
636	2705	32086
637	2707	32052
638	2709	32025
639	2711	32000
640	2713	31966
641	2715	31933
642	2717	31899
643	2719	31875
644	2721	31847
645	2723	31815
646	2726	31795
647	2728	31765
648	2730	31739
649	2733	31719
650	2736	31700
651	2739	31677
652	2741	31646
653	2743	31617
654	2745	31586
655	2748	31572
656	2750	31542
657	2753	31525
658	2756	31508
659	2760	31501
660	2762	31478
661	2766	31464
662	2768	31434
663	2771	31415
664	2773	31396
665	2776	31373
666	2778	31345
667	2780	31316
668	2782	31288
669	2784	31260
670	2786	31232
671	2788	31201
672	2789	31169
673	2793	31155
674	2795	31125
675	2797	31099
676	2799	31071
677	2801	31045
678	2803	31019
679	2805	30989
680	2807	30962
681	2809	30937
682	2811	30910
683	2813	30883
684	2815	30856
685	2817	30833
686	2820	30808
687	2823	30793
688	2826	30777
689	2830	30775
690	2833	30754
691	2836	30742
692	2843	30765
693	2845	30748
694	2849	30732
695	2851	30711
696	2855	30701
697	2857	30674
698	2858	30646
699	2862	30635
700	2864	30614
701	2867	30599
702	2871	30591
703	2874	30578
704	2878	30570
705	2880	30547
706	2883	30525
707	2886	30511
708	2890	30503
709	2894	30498
710	2899	30504
711	2901	30482
712	2903	30456
713	2905	30428
714	2907	30407
715	2910	30384
716	2912	30366
717	2915	30346
718	2917	30322
719	2919	30300
720	2921	30276
721	2923	30251
722	2925	30224
723	2927	30197
724	2929	30174
725	2931	30148
726	2934	30130
727	2936	30105
728	2939	30088
729	2941	30067
730	2943	30046
731	2946	30026
732	2949	30009
733	2951	29993
734	2954	29971
735	2956	29947
736	2958	29927
737	2961	29911
738	2964	29897
739	2966	29873
740	2968	29852
741	2971	29833
742	2973	29814
743	2976	29800
744	2979	29783
745	2982	29764
746	2984	29743
747	2986	29718
748	2988	29695
749	2990	29672
750	2992	29650
751	2994	29625
752	2996	29600
753	2998	29575
754	3000	29553
755	3002	29531
756	3004	29508
757	3006	29483
758	3008	29462
759	3010	29440
760	3012	29416
761	3014	29395
762	3017	29376
763	3019	29357
764	3021	29338
765	3024	29319
766	3026	29298
767	3028	29275
768	3030	29253
769	3032	29232
770	3035	29212
771	3037	29194
772	3039	29174
773	3042	29155
774	3044	29135
775	3046	29116
776	3048	29096
777	3052	29087
778	3055	29074
779	3057	29058
780	3060	29040
781	3062	29021
782	3065	29011
783	3067	28988
784	3069	28966
785	3071	28945
786	3073	28922
787	3075	28898
788	3077	28877
789	3080	28862
790	3082	28841
791	3084	28820
792	3086	28798
793	3088	28778
794	3091	28762
795	3093	28743
796	3096	28726
797	3098	28707
798	3100	28687
799	3102	28667
800	3104	28645
801	3106	28624
802	3108	28603
803	3110	28584
804	3112	28564
805	3115	28547
806	3117	28529
807	3120	28514
808	3122	28494
809	3124	28479
810	3127	28465
811	3129	28447
812	3132	28431
813	3134	28412
814	3137	28396
815	3139	28376
816	3141	28355
817	3143	28334
818	3145	28314
819	3147	28294
820	3149	28278
821	3152	28262
822	3154	28242
823	3156	28223
824	3158	28204
825	3160	28186
826	3162	28168
827	3165	28155
828	3167	28137
829	3170	28123
830	3172	28104
831	3174	28084
832	3177	28070
833	3179	28053
834	3182	28039
835	3184	28024
836	3187	28009
837	3189	27991
838	3192	27976
839	3194	27959
840	3197	27948
841	3199	27931
842	3201	27913
843	3204	27895
844	3206	27878
845	3208	27860
846	3210	27839
847	3212	27820
848	3214	27805
849	3216	27785
850	3218	27765
851	3220	27744
852	3222	27724
853	3224	27705
854	3226	27686
855	3228	27668
856	3231	27658
857	3233	27642
858	3236	27627
859	3238	27611
860	3240	27593
861	3243	27576
862	3245	27562
863	3247	27545
864	3250	27534
865	3252	27517
866	3255	27501
867	3257	27487
868	3259	27471
869	3262	27453
870	3264	27440
871	3267	27425
872	3269	27409
873	3271	27396
874	3274	27383
875	3277	27369
876	3279	27355
877	3281	27336
878	3283	27319
879	3285	27302
880	3288	27290
881	3291	27276
882	3293	27260
883	3296	27254
884	3298	27236
885	3301	27220
886	3303	27207
887	3305	27191
888	3307	27172
889	3310	27164
890	3312	27147
891	3315	27129
892	3317	27116
893	3319	27101
894	3322	27086
895	3325	27079
896	3327	27063
897	3329	27046
898	3332	27033
899	3334	27019
900	3337	27003
901	3339	26989
902	3341	26972
903	3343	26957
904	3345	26941
905	3348	26927
906	3350	26911
907	3354	26905
908	3356	26895
909	3359	26881
910	3362	26873
911	3365	26861
912	3367	26851
913	3370	26840
914	3373	26826
915	3375	26808
916	3377	26792
917	3379	26774
918	3380	26756
919	3382	26739
920	3385	26724
