iter	Passed	Remaining
0	5	44380
1	10	41615
2	13	36938
3	18	37983
4	22	36663
5	25	35296
6	29	34320
7	33	34342
8	37	34470
9	42	34585
10	45	33546
11	50	34275
12	54	34335
13	58	34226
14	63	34388
15	66	34097
16	70	34064
17	74	33702
18	77	33375
19	82	33600
20	87	34119
21	91	33991
22	95	33904
23	99	33941
24	103	33971
25	108	34005
26	113	34244
27	115	33788
28	118	33447
29	122	33249
30	130	34273
31	137	35165
32	145	36039
33	152	36590
34	158	37038
35	163	37146
36	173	38172
37	176	37882
38	182	38141
39	186	37991
40	191	38073
41	196	38098
42	202	38356
43	209	38828
44	213	38647
45	217	38455
46	222	38525
47	228	38723
48	230	38312
49	233	38097
50	241	38535
51	245	38388
52	248	38138
53	252	38085
54	257	38101
55	261	37957
56	266	37977
57	273	38288
58	275	38008
59	280	38080
60	287	38327
61	290	38080
62	293	37884
63	297	37832
64	303	37971
65	307	37798
66	309	37588
67	314	37527
68	319	37600
69	324	37665
70	330	37775
71	337	38031
72	340	37862
73	345	37920
74	352	38124
75	355	38016
76	360	37985
77	365	38069
78	369	37908
79	372	37739
80	376	37681
81	380	37594
82	383	37421
83	385	37247
84	389	37193
85	395	37264
86	398	37079
87	401	36960
88	403	36777
89	408	36764
90	411	36637
91	414	36457
92	416	36268
93	420	36225
94	425	36295
95	428	36171
96	431	36044
97	434	35870
98	438	35811
99	441	35713
100	443	35559
101	447	35523
102	452	35505
103	459	35771
104	462	35605
105	464	35469
106	468	35369
107	471	35313
108	474	35191
109	479	35221
110	482	35140
111	486	35097
112	488	34956
113	491	34816
114	493	34663
115	496	34585
116	500	34526
117	503	34470
118	505	34319
119	508	34184
120	510	34054
121	512	33921
122	517	33928
123	522	34011
124	527	34054
125	533	34134
126	536	34096
127	541	34100
128	545	34122
129	551	34189
130	555	34167
131	558	34121
132	564	34216
133	570	34334
134	576	34378
135	581	34424
136	584	34355
137	588	34356
138	592	34336
139	597	34383
140	602	34393
141	606	34374
142	611	34410
143	614	34358
144	619	34368
145	622	34289
146	626	34289
147	630	34276
148	634	34237
149	638	34232
150	644	34308
151	649	34361
152	652	34299
153	658	34368
154	663	34385
155	666	34338
156	671	34377
157	676	34412
158	680	34400
159	684	34367
160	689	34372
161	692	34336
162	695	34269
163	700	34283
164	705	34334
165	708	34276
166	711	34209
167	716	34216
168	720	34220
169	725	34219
170	728	34192
171	732	34174
172	735	34103
173	738	34050
174	742	34016
175	748	34078
176	750	33991
177	755	34017
178	759	33996
179	763	33966
180	766	33939
181	772	33985
182	775	33921
183	780	33982
184	785	33990
185	789	33990
186	794	34021
187	798	33999
188	806	34131
189	811	34161
190	816	34223
191	820	34197
192	828	34317
193	833	34344
194	837	34351
195	843	34396
196	845	34331
197	851	34358
198	854	34308
199	859	34330
200	864	34366
201	868	34344
202	872	34330
203	875	34277
204	879	34267
205	884	34308
206	889	34315
207	891	34235
208	896	34241
209	899	34176
210	903	34181
211	907	34147
212	911	34148
213	916	34165
214	919	34130
215	923	34106
216	927	34102
217	931	34059
218	937	34144
219	945	34256
220	948	34209
221	953	34226
222	956	34194
223	961	34191
224	963	34123
225	967	34093
226	971	34087
227	975	34068
228	980	34086
229	984	34086
230	987	34025
231	991	34016
232	996	34047
233	1000	34039
234	1006	34065
235	1011	34102
236	1016	34133
237	1022	34175
238	1027	34199
239	1033	34254
240	1039	34286
241	1044	34326
242	1048	34287
243	1053	34323
244	1057	34304
245	1062	34330
246	1065	34286
247	1070	34292
248	1073	34235
249	1076	34211
250	1080	34184
251	1084	34157
252	1087	34110
253	1092	34157
254	1099	34211
255	1103	34213
256	1107	34201
257	1115	34295
258	1120	34320
259	1125	34338
260	1129	34321
261	1132	34285
262	1135	34221
263	1138	34197
264	1142	34179
265	1147	34196
266	1150	34137
267	1153	34092
268	1157	34102
269	1164	34166
270	1167	34126
271	1171	34111
272	1177	34148
273	1180	34109
274	1183	34075
275	1188	34089
276	1194	34123
277	1199	34152
278	1205	34180
279	1211	34220
280	1215	34209
281	1219	34202
282	1223	34195
283	1227	34189
284	1232	34204
285	1235	34155
286	1240	34154
287	1245	34170
288	1247	34123
289	1252	34117
290	1254	34057
291	1258	34048
292	1261	34011
293	1266	34013
294	1270	34010
295	1275	34016
296	1280	34040
297	1285	34050
298	1290	34077
299	1294	34045
300	1298	34034
301	1302	34022
302	1306	34004
303	1309	33986
304	1314	33982
305	1319	34001
306	1323	33998
307	1328	34015
308	1331	33966
309	1335	33955
310	1338	33909
311	1340	33865
312	1348	33942
313	1350	33891
314	1353	33839
315	1355	33777
316	1357	33725
317	1362	33744
318	1368	33779
319	1371	33745
320	1378	33790
321	1384	33828
322	1386	33782
323	1390	33776
324	1394	33749
325	1399	33762
326	1403	33747
327	1412	33858
328	1416	33844
329	1419	33807
330	1424	33819
331	1427	33807
332	1432	33800
333	1437	33808
334	1440	33789
335	1444	33775
336	1448	33765
337	1454	33791
338	1457	33756
339	1461	33763
340	1466	33752
341	1470	33748
342	1474	33735
343	1482	33825
344	1486	33807
345	1492	33835
346	1497	33866
347	1500	33811
348	1502	33767
349	1509	33813
350	1512	33790
351	1517	33795
352	1524	33851
353	1531	33905
354	1534	33872
355	1544	33987
356	1547	33961
357	1551	33944
358	1557	33984
359	1561	33964
360	1564	33946
361	1570	33978
362	1576	34001
363	1580	33995
364	1585	33994
365	1588	33962
366	1592	33948
367	1595	33919
368	1598	33884
369	1605	33941
370	1608	33902
371	1610	33860
372	1613	33813
373	1617	33804
374	1620	33785
375	1625	33786
376	1629	33784
377	1633	33772
378	1637	33751
379	1640	33732
380	1645	33729
381	1649	33719
382	1652	33685
383	1655	33670
384	1660	33668
385	1668	33732
386	1672	33723
387	1675	33697
388	1679	33683
389	1682	33657
390	1687	33670
391	1691	33661
392	1697	33683
393	1703	33710
394	1707	33700
395	1711	33694
396	1715	33690
397	1719	33674
398	1721	33624
399	1727	33644
400	1730	33619
401	1734	33605
402	1737	33585
403	1741	33569
404	1744	33537
405	1749	33559
406	1755	33578
407	1759	33568
408	1763	33564
409	1766	33536
410	1770	33524
411	1773	33492
412	1777	33484
413	1782	33492
414	1787	33493
415	1791	33492
416	1796	33492
417	1800	33483
418	1804	33480
419	1809	33484
420	1815	33507
421	1818	33481
422	1822	33475
423	1824	33433
424	1826	33381
425	1828	33329
426	1830	33279
427	1833	33260
428	1837	33255
429	1841	33233
430	1846	33242
431	1851	33253
432	1856	33274
433	1861	33278
434	1865	33274
435	1870	33269
436	1872	33223
437	1873	33172
438	1876	33134
439	1880	33128
440	1884	33127
441	1888	33115
442	1893	33125
443	1896	33098
444	1900	33086
445	1903	33067
446	1909	33077
447	1913	33067
448	1918	33082
449	1921	33057
450	1925	33053
451	1930	33057
452	1934	33052
453	1939	33065
454	1943	33039
455	1950	33093
456	1955	33094
457	1958	33074
458	1964	33089
459	1966	33048
460	1967	33003
461	1969	32957
462	1972	32932
463	1975	32901
464	1980	32903
465	1985	32910
466	1988	32896
467	1993	32898
468	1998	32906
469	2002	32906
470	2005	32883
471	2011	32895
472	2015	32899
473	2020	32901
474	2025	32915
475	2030	32920
476	2035	32929
477	2038	32903
478	2043	32903
479	2045	32862
480	2047	32817
481	2049	32782
