iter	Passed	Remaining
0	3	26328
1	7	32406
2	14	39941
3	20	41045
4	26	42694
5	30	42091
6	35	41959
7	42	43060
8	48	44524
9	53	44004
10	57	42834
11	63	43376
12	67	42673
13	72	42382
14	78	42667
15	84	43217
16	94	45584
17	99	45113
18	104	44960
19	107	44121
20	110	43137
21	114	42696
22	118	42146
23	122	41853
24	126	41355
25	130	40878
26	133	40476
27	138	40264
28	142	40231
29	147	40206
30	151	39922
31	155	39715
32	160	39803
33	164	39496
34	167	39048
35	170	38665
36	173	38347
37	178	38242
38	182	38110
39	184	37612
40	187	37369
41	193	37451
42	197	37345
43	200	37149
44	205	37280
45	210	37270
46	214	37146
47	218	37021
48	222	36905
49	225	36646
50	229	36703
51	233	36612
52	238	36654
53	244	36789
54	247	36648
55	251	36552
56	253	36234
57	259	36396
58	263	36389
59	268	36353
60	271	36225
61	276	36277
62	280	36173
63	284	36182
64	288	36042
65	292	35973
66	295	35850
67	301	35987
68	305	35922
69	310	35982
70	313	35887
71	318	35866
72	322	35816
73	325	35708
74	329	35663
75	335	35822
76	340	35911
77	344	35829
78	348	35815
79	352	35734
80	356	35728
81	361	35714
82	366	35772
83	371	35901
84	376	35865
85	379	35796
86	384	35842
87	390	35976
88	397	36203
89	402	36223
90	407	36312
91	414	36487
92	422	36786
93	427	36837
94	431	36815
95	439	37073
96	444	37099
97	449	37165
98	456	37336
99	462	37397
100	467	37468
101	473	37574
102	478	37554
103	485	37739
104	488	37642
105	492	37596
106	496	37553
107	500	37492
108	504	37390
109	510	37484
110	515	37511
111	518	37407
112	521	37292
113	524	37179
114	529	37163
115	532	37088
116	536	37012
117	540	36961
118	545	36976
119	549	36989
120	553	36890
121	557	36890
122	562	36903
123	566	36853
124	570	36837
125	573	36737
126	580	36849
127	586	36944
128	591	36976
129	596	37020
130	603	37115
131	608	37140
132	612	37089
133	616	37047
134	618	36940
135	622	36869
136	626	36856
137	632	36930
138	636	36876
139	641	36869
140	644	36786
141	651	36919
142	654	36863
143	672	37575
144	676	37560
145	680	37492
146	683	37421
147	687	37390
148	693	37416
149	697	37379
150	701	37338
151	705	37342
152	709	37303
153	715	37335
154	719	37284
155	722	37236
156	725	37144
157	728	37059
158	731	36977
159	735	36914
160	738	36827
161	741	36758
162	747	36801
163	753	36863
164	759	36924
165	762	36849
166	766	36820
167	770	36820
168	774	36776
169	778	36744
170	782	36709
171	786	36656
172	788	36564
173	792	36541
174	796	36511
175	800	36454
176	803	36383
177	808	36384
178	812	36371
179	816	36343
180	820	36314
181	824	36272
182	827	36210
183	832	36211
184	835	36181
185	841	36226
186	845	36181
187	849	36162
188	852	36111
189	856	36080
190	860	36035
191	863	35999
192	867	35946
193	871	35937
194	875	35916
195	880	35904
196	884	35877
197	888	35869
198	892	35838
199	896	35812
200	900	35802
201	904	35790
202	909	35786
203	912	35737
204	916	35697
205	919	35644
206	923	35605
207	926	35573
208	930	35546
209	937	35625
210	942	35661
211	947	35677
